"Word1","安倍3"
"日本",23
"私",23
"世界",18
"成長",16
"保障",12
"制度",11
"経済",11
"実行",9
"改革",9
"皆さん",9
"力",8
"戦略",8
"社会",8
"国",7
"政策",7
"人",6
"再生",6
"国家",6
"国民",6
"意志",6
"道",6
"企業",5
"加速",5
"復興",5
"我が国",5
"投資",5
"未来",5
"現実",5
"世代",4
"分野",4
"創設",4
"国会",4
"外交",4
"心",4
"意欲",4
"明治",4
"消費",4
"積極",4
"競争",4
"米",4
"被災",4
"財政",4
"選挙",4
"チャレンジ",3
"チャンス",3
"デフレ",3
"主義",3
"全力",3
"内閣",3
"再建",3
"医療",3
"問題",3
"地",3
"安定",3
"実感",3
"実現",3
"対策",3
"市場",3
"希望",3
"強化",3
"拡大",3
"日",3
"構築",3
"水",3
"注目",3
"活躍",3
"産業",3
"産物",3
"総理",3
"行動",3
"規制",3
"解決",3
"課題",3
"貢献",3
"責任",3
"農地",3
"農業",3
"ふるさと",2
"コスト",2
"システム",2
"パッケージ",2
"ベンチャー",2
"価値",2
"促進",2
"保険",2
"倍増",2
"全国",2
"公務",2
"再編",2
"削減",2
"協調",2
"収入",2
"取組",2
"向上",2
"員",2
"回復",2
"国益",2
"国際",2
"地域",2
"基盤",2
"大臣",2
"失敗",2
"女性",2
"姿",2
"官邸",2
"家族",2
"幕開け",2
"役割",2
"彼",2
"復旧",2
"循環",2
"志",2
"応援",2
"感謝",2
"手紙",2
"持続",2
"故郷",2
"景気",2
"歓喜",2
"民間",2
"汚染",2
"津々浦々",2
"災害",2
"環境",2
"生活",2
"生産",2
"目",2
"直視",2
"直面",2
"確保",2
"税率",2
"策定",2
"精神",2
"結果",2
"脱却",2
"自身",2
"若者",2
"視点",2
"言葉",2
"訪問",2
"負担",2
"起業",2
"連携",2
"選手",2
"都市",2
"雇用",2
"難病",2
"電力",2
"震災",2
"風評",2
"高齢",2
"いす",1
"こう着",1
"さい",1
"して",1
"しゃくねつ",1
"しょうそう",1
"しん",1
"た",1
"てま",1
"ひら",1
"ふ",1
"べんぎ",1
"ほか",1
"もと",1
"アジア",1
"アスリート",1
"アナウンス",1
"アーン",1
"インフラ",1
"エネルギー",1
"サンクトペテ",1
"ジブチ",1
"ニューヨーク",1
"バリ",1
"バンク",1
"パラリンピッ",1
"ビジネス",1
"フロンティア",1
"ブエノスアイ",1
"プログラム",1
"メダル",1
"ライフワーク",1
"ロック",1
"一変",1
"一過性",1
"三本の矢",1
"上昇",1
"下",1
"与党",1
"世の中",1
"並行",1
"中心",1
"中核",1
"予定",1
"予算",1
"事故",1
"事業",1
"交渉",1
"交通",1
"人事",1
"人権",1
"人気",1
"介護",1
"仕事",1
"付加",1
"代謝",1
"会場",1
"会談",1
"会議",1
"会長",1
"住まい",1
"作文",1
"供給",1
"依存",1
"便宜",1
"保安",1
"俯瞰",1
"倍率",1
"値",1
"充実",1
"先人",1
"先端",1
"先進",1
"光",1
"全体",1
"全面",1
"共有",1
"具体",1
"内",1
"出身",1
"列強",1
"前進",1
"前面",1
"創業",1
"労",1
"動員",1
"協力",1
"南西",1
"原発",1
"参入",1
"参議院",1
"取得",1
"受益",1
"台風",1
"司令塔",1
"各位",1
"合意",1
"同時",1
"同盟",1
"呪縛",1
"哀悼",1
"国々",1
"土地",1
"在",1
"地元",1
"地球儀",1
"均衡",1
"基本",1
"基準",1
"基軸",1
"士気",1
"外国",1
"夢",1
"太平洋",1
"夫婦",1
"奨励",1
"奮起",1
"妥結",1
"姿勢",1
"子",1
"安心",1
"定数",1
"実態",1
"実用",1
"実証",1
"宮古島",1
"対処",1
"少子",1
"就任",1
"局",1
"島",1
"工事",1
"工程",1
"市町村",1
"年率",1
"年金",1
"廃",1
"延べ",1
"影響",1
"後押し",1
"復活",1
"徹底",1
"患者",1
"意",1
"意味",1
"愛情",1
"感",1
"憲法",1
"所得",1
"手続",1
"手間",1
"打破",1
"抑止",1
"投票",1
"折り紙つき",1
"抜本",1
"拉致",1
"推進",1
"支持",1
"支配",1
"改正",1
"政",1
"政治",1
"教育",1
"散在",1
"料",1
"断行",1
"新陳",1
"施策",1
"東",1
"東京",1
"極限",1
"機能",1
"次",1
"次第",1
"欧",1
"段階",1
"母さん",1
"民主",1
"気持ち",1
"水泳",1
"求人",1
"決定",1
"決断",1
"沖縄",1
"法",1
"活性",1
"活用",1
"海上",1
"海賊",1
"漁業",1
"漁船",1
"灼熱",1
"炉",1
"焦燥",1
"特例",1
"特区",1
"状況",1
"獲得",1
"現代",1
"現場",1
"現状",1
"現行",1
"理解",1
"産",1
"用地",1
"発信",1
"皆様",1
"目の当たり",1
"目先",1
"目標",1
"相互",1
"看板",1
"着手",1
"石垣",1
"研究",1
"確信",1
"社員",1
"秩序",1
"移転",1
"税制",1
"税収",1
"空",1
"空気",1
"竜巻",1
"米軍",1
"約束",1
"紹介",1
"経験",1
"結論",1
"維持",1
"綴",1
"編",1
"緩和",1
"繁栄",1
"背中",1
"胸",1
"能動",1
"自信",1
"自衛",1
"舞台",1
"苦悩",1
"英国",1
"萎縮",1
"著書",1
"表",1
"被害",1
"裏打ち",1
"西",1
"規模",1
"観",1
"解消",1
"計画",1
"記録",1
"設備",1
"設置",1
"証明",1
"認識",1
"誰",1
"議員",1
"議論",1
"豪雨",1
"負託",1
"財源",1
"賃金",1
"足跡",1
"車",1
"転換",1
"軽減",1
"輪",1
"輸出",1
"農村",1
"農産物",1
"追求",1
"造成",1
"連立",1
"連続",1
"過去",1
"達成",1
"避難",1
"都道府県",1
"金",1
"金融",1
"開発",1
"開花",1
"限",1
"除染",1
"隅々",1
"集中",1
"集積",1
"食",1
"食品",1
"首脳",1
"高",1
"高台",1
"魅力",1
"ＴＯＫＹＯ",1
"ＴＰＰ",1
